node,conceptualized_node,node_type
Forest added an additional talk about wire bonding.,"wirebonding, electronics, manufacturing, technology, industry",event
Craig forgot that when assembling the box the transport frame is already screwed in place!!,"confusion, mistake, oversight, error, frustration",event
Craig and Ingo mentioned that what was not in the list on page 2 was not discussed.,"inclusion, exclusion, discussion, omission, reference",event
Suggestion for minutes - (Bart) suggestion to use google docs for minutes and allow others to help with minuting.,"suggestion, collaboration, documentation, sharing, assistance",event
The ribbing on the barrel transport frame was optimised.,"transport, efficiency, optimisation, design",event
The next update expected for Hybrid crate roll-out is 03/02/2020.,"update, rollout, release, deployment",event
The minutes of the Strip Module Meeting were recorded on 21/01/20.,"meeting, record, document, minutes, report",event
It was useful to save time.,"time saving, productivity, efficiency, convenience, saving",event
"Updates could be verbal, email or slides in a meeting","communication, reporting, briefings, updates, sharing",event
It could be tricky to keep track of all the diodes when placing the sensor/module in the frame.,"electronic, complexity, assembly, wiring, installation",event
Tony and Craig agreed that they would need to run it past Didier et al.,"agreement, consent, approval, collaboration, discussion",event
Bart showed the prototype HV tab holder.,"innovation, presentation, unveiling, prototype, demonstration",event
Barrel (Timon) was happy to sign-off.,"signing, goodbyes, farewell, goodbye, leaving",event
Sven questioned the test coupon measurements.,"investigation, controversy, measurement, dispute",event
The EC HV tab jig was discussed.,"technology, discussion, conference, meeting, protocol",event
Actions were carried over at the meeting.,"discussion, decision, progress, followup, meeting",event
The minutes will appear in this space from next week onwards.,"schedule, appearance, publication",event
The prototype HV tab holder was discussed.,"discussion, presentation, meeting, product",event
Craig and Ingo would be in touch with the responsible individuals periodically for updates.,"communication, updates, contact, liaison, followup",event
The quantity of samples for testing was discussed.,"discuss, analysis, testing, samples, quantity",event
"Updates could be verbal, email, or slides in a meeting.","information, communication, sharing, briefing, reporting",event
Prague wanted to order more mechanical hybrids.,"pragmatics, procurement, demand, order, logistics",event
Barrel tooling design finalisation/roll-out | Sven | 03/02/2020,"design, finalisation, roll-out, project, completion",event
There is risk to coupling preproduction to v5 schedule and we have already committed (deliberately) to v4,"risk, coupling, commitment, change, delay",event
"Hybrid crate status was discussed, with Craig suggesting doing the same on FMC-DP.","discussions, proposal, suggestion, meeting, implementation",event
Craig asked about the QC steps.,"inquiry, questioning, inquiry, research, process, procedure",event
Smaller suction cups and correct sized holes do help,"adhesion, attachment, suction, improvement",event
Craig reported on the UV LED driver.,"report, presentation, technology, review",event
Gerrit discussed the barrel transport frame.,"design, engineering, discussion, innovation, collaboration",event
Satish answered that the QC steps would include magnet tests at Yale and irradiation at BNL.,"research, testing, collaboration, accreditation, verification",event
"Timon, Carl, and Satish were assigned to write a QC document for coils.","cooperation, documentation, quality, assignment",event
They were listed as responsible in the meeting.,"accountability, responsibility, accountability, listing, liability, blame",event
The barrel module frame and hybrid panel finalisation was discussed.,"assembly, finalisation, discussion, meeting, planning",event
The high voltage connector for the barrel module frame and hybrid panel was discussed.,"electronics, discussion, assembly, hardware, framework",event
Marc was assigned to design and roll out the EC tooling.,"design, project, development, deployment",event
Forest added a talk about wire bonding.,"technology, manufacturing, process, bonding, industry",event
Watching brief Item | Responsible | Next update expected HV tab bonding | Jens | 03/02/2020,"watching, update, waiting, expectation, anticipation",event
Jane commented on the stencil reliability.,"comment, reliability, feedback, critique, assessment",event
Barrel hybrid tendering | Bart/Ash | 03/02/2020,"tendering, bidding, procurement, deal",event
The specs defined for the coils were not led by ATLAS performance specs.,"deviation, compliance, standard, specs, discrepancy",event
This could be done along with the passive components.,"assembly, integration, connection, combination",event
The next update expected for HV tab bonding is 03/02/2020.,"software, update, release, patch, development",event
The injection moulding company optimised the ribbing.,"optimisation, efficiency, manufacturing, improvement, precision",event
Prague wants to order more mechanical hybrids.,"purchase, hybrids, order, upgrade",event
Dave: how do I understand a watching brief?,"construction, supervision, guidance, procedure, compliance",event
Dave/Ankush/Sergio are responsible for Module thermal cycling roll-out,"roll-out, deployment, testing, release, project",event
Craig agreed to add this to the list in 3 months or so.,"commit, agreement, deadline, promise, obligation",event
The powerboard performance was discussed.,"performance, discussion, critique, analysis",event
QC document for coils was assigned to Timon/Carl/Satish to write.,"qc, documentation, task, assignment, writing",event
Dennis & Marc discussed the EC HV tab jig.,"meeting, discussion, collaboration, planning",event
Craig introduced the topic of minutes.,"introduction, meeting, minutes, discussion, conference",event
The minutes of the Strip Module Meeting were recorded on 28/01/20.,"meeting, record, documentation, minutes, data",event
The people listed as responsible will be contacted periodically for updates.,"notification, update, contact, followup, tracking",event
A stencil might be more reliable for the UV and polaris epoxy study.,"research, study, epoxy, stencil, reliability",event
Craig & Ingo suggested moving weighing and bonding to a later session.,"postponement, delay, bonding, session, discussion",event
The next update expected for Powerboard mass tester roll-out is 03/02/2020.,"update, deployment, rollout, release",event
Carl reported on the DCDC coil order.,"order, reporting, business, transaction",event
Craig and Ingo will email the ITk week presenters and upload the minutes to indico.,"communication, emailing, upload, presentation, minutes",event
Temperature-dependent calibration has been done.,"calibration, adjustment, testing, validation",event
"QC steps for coil order were discussed, with Satish answering.","qc discussion, meeting, discussion, quality, procedure",event
The status of powerboard test crate was discussed.,"meeting, discussion, discussion, testing, development, power",event
"Updates could be verbal, email or slides in a meeting.","communication, delivery, sharing, updates",event
Tests for the UV and polaris epoxy temperature dependence were done without hardener.,"testing, material, epoxy, dependence, temperature",event
The participants agreed on the tasks and the next steps.,"agreement, consensus, cooperation, collaboration",event
A study was conducted on the temperature dependence of UV glue.,"research, bonding, adhesion, temperature, materials, bonding",event
Writing a QC document for coils was assigned as an action.,"quality, compliance, documentation, standardization, testing",event
It was confirmed that a 0.25mm core is okay.,"acceptance, standards, approval, testing, validation",event
Timon and Karol were assigned to roll out the powerboard mass tester.,"industrial, assignment, testing, project, machinery",event
"From ITk week, don’t clean with isoprop, just DI water, seems isoprop makes surface stickier","cleaning, surface, stickiness, issue, maintenance",event
He prefers to keep the diodes on all four sides of the frame.,"mounting, framing, securing, bordering, shielding",event
"Uli, Kambiz, and Dennis were responsible for the tendering of the EC hybrid/powerboard.","collaboration, teamwork, tendering",event
Satish questioned the QC boundaries of the coils.,"inquiry, testing, inspection, analysis, quality",event
Sion Hongbo will discuss with them to see if we can optimise the ribbing a bit more to improve planarity,"discuss, optimization, planning, collaboration",event
The minutes of the Strip Module Meeting were taken on 11/02/20.,"minutes, meeting, record, document, note",event
Ulli was also happy.,"happiness, joy, bliss",event
"QC groups should be added to the list, including a hybrid/module assembly group.","qc, assembly, organization, integration, addition, management, workflow",event
Dennis confirmed the metal trace variability.,"analysis, verification, confirmation, discovery",event
Groups need to comply with documents provided!,"compliance, regulation, enforcement, requirement",event
The group is supposed to comply with documents provided.,"compliance, compliance, regulations, paperwork, following",event
